unit_type_id,property_id,name,created_at,updated_at,deleted_at
227,PR0238,Type 1,2021-12-09 06:48,2021-12-09 06:48,
228,PR0238,Type 2,2021-12-09 06:48,2021-12-09 06:48,
229,PR0238,Type 3,2021-12-09 06:48,2021-12-09 06:48,
230,PR0238,Type 4,2021-12-09 06:48,2021-12-09 06:48,
231,PR0238,Type 5,2021-12-09 06:48,2021-12-09 06:48,
232,PR0307,Type 1,2021-12-09 06:48,2021-12-09 06:48,
233,PR0031,Type 1,2021-12-09 06:48,2021-12-09 06:48,
234,PR0031,Type 2,2021-12-09 06:48,2021-12-09 06:48,
235,PR0031,Type 3,2021-12-09 06:48,2021-12-09 06:48,
236,PR0140,Type 1,2021-12-09 06:48,2021-12-09 06:48,
237,PR0288,Type 1,2021-12-09 06:48,2021-12-09 06:48,
238,PR0288,Type 2,2021-12-09 06:48,2021-12-09 06:48,
239,PR0288,Type 3,2021-12-09 06:48,2021-12-09 06:48,
240,PR0239,Type 1,2021-12-09 06:49,2021-12-09 06:49,
241,PR0239,Type 2,2021-12-09 06:49,2021-12-09 06:49,
242,PR0239,Type 3,2021-12-09 06:49,2021-12-09 06:49,
243,PR0191,Type 1,2021-12-09 06:49,2021-12-09 06:49,
244,PR0191,Type 2,2021-12-09 06:49,2021-12-09 06:49,
245,PR0191,Type 3,2021-12-09 06:49,2021-12-09 06:49,
246,PR0141,Type 1,2021-12-09 06:49,2021-12-09 06:49,
247,PR0141,Type 2,2021-12-09 06:49,2021-12-09 06:49,
248,PR0141,Type 3,2021-12-09 06:49,2021-12-09 06:49,
249,PR0141,Type 4,2021-12-09 06:49,2021-12-09 06:49,
250,PR0289,Type 1,2021-12-09 06:49,2021-12-09 06:49,
251,PR0289,Type 2,2021-12-09 06:49,2021-12-09 06:49,
252,PR0289,Type 3,2021-12-09 06:49,2021-12-09 06:49,
253,PR0240,Type 1,2021-12-09 06:49,2021-12-09 06:49,
254,PR0240,Type 2,2021-12-09 06:49,2021-12-09 06:49,
255,PR0240,Type 3,2021-12-09 06:49,2021-12-09 06:49,
256,PR0240,Type 4,2021-12-09 06:49,2021-12-09 06:49,
257,PR0192,Type 1,2021-12-09 06:49,2021-12-09 06:49,
258,PR0142,Type 1,2021-12-09 06:49,2021-12-09 06:49,
259,PR0142,Type 2,2021-12-09 06:49,2021-12-09 06:49,
260,PR0142,Type 3,2021-12-09 06:49,2021-12-09 06:49,
261,PR0290,Type 1,2021-12-09 06:49,2021-12-09 06:49,
262,PR0290,Type 2,2021-12-09 06:49,2021-12-09 06:49,
263,PR0290,Type 3,2021-12-09 06:49,2021-12-09 06:49,
264,PR0241,2BR,2021-12-09 06:49,2023-03-06 09:56,
265,PR0241,1BR,2021-12-09 06:49,2023-03-06 09:56,
266,PR0193,Type 1,2021-12-09 06:49,2021-12-09 06:49,
267,PR0193,Type 2,2021-12-09 06:49,2021-12-09 06:49,
268,PR0193,Type 3,2021-12-09 06:49,2021-12-09 06:49,
269,PR0193,Type 4,2021-12-09 06:49,2021-12-09 06:49,
270,PR0143,Type 1,2021-12-09 06:50,2021-12-09 06:50,
271,PR0292,Type 1,2021-12-09 06:50,2021-12-09 06:50,
272,PR0079,Type 1,2021-12-09 06:50,2021-12-09 06:50,
273,PR0079,Type 2,2021-12-09 06:50,2021-12-09 06:50,
274,PR0079,Type 3,2021-12-09 06:50,2021-12-09 06:50,
275,PR0079,Type 4,2021-12-09 06:50,2021-12-09 06:50,
276,PR0194,Type 1,2021-12-09 06:50,2021-12-09 06:50,
277,PR0194,Type 2,2021-12-09 06:50,2021-12-09 06:50,
278,PR0194,Type 3,2021-12-09 06:50,2021-12-09 06:50,
279,PR0144,Type 1,2021-12-09 06:50,2021-12-09 06:50,
280,PR0144,Type 2,2021-12-09 06:50,2021-12-09 06:50,
281,PR0144,Type 3,2021-12-09 06:50,2021-12-09 06:50,
282,PR0293,Entire,2021-12-09 06:50,2023-03-06 09:21,
283,PR0293,Type 2,2021-12-09 06:50,2023-03-02 05:08,2023-03-02 05:08
284,PR0293,Type 3,2021-12-09 06:50,2023-03-02 05:08,2023-03-02 05:08
285,PR0242,NDBV Lot 3,2021-12-09 06:50,2023-03-06 09:56,
286,PR0196,NDBV Lot 6,2021-12-09 06:50,2023-03-06 09:56,
287,PR0145,Type 1,2021-12-09 06:50,2021-12-09 06:50,
288,PR0294,Downstairs Room 2B,2021-12-09 06:50,2023-03-07 10:10,
289,PR0294,Upstairs Room 3B,2021-12-09 06:50,2023-03-07 10:10,
290,PR0294,Upstairs Room 3A,2021-12-09 06:50,2023-03-07 10:10,
291,PR0243,Type 1,2021-12-09 06:50,2021-12-09 06:50,
292,PR0243,Type 2,2021-12-09 06:50,2021-12-09 06:50,
293,PR0243,Type 3,2021-12-09 06:50,2021-12-09 06:50,
294,PR0243,Type 4,2021-12-09 06:50,2021-12-09 06:50,
295,PR0197,Type 1,2021-12-09 06:50,2021-12-09 06:50,
296,PR0146,Type 1,2021-12-09 06:50,2021-12-09 06:50,
297,PR0146,Type 2,2021-12-09 06:50,2021-12-09 06:50,
298,PR0146,Type 3,2021-12-09 06:50,2021-12-09 06:50,
299,PR0146,Type 4,2021-12-09 06:50,2021-12-09 06:50,
